Nome,Partido,Descrição
Partido da Gente,PG,"Partido político português, já extinto, criado em 1995. De inspiração cristã, defendendo a promoção da democracia política, social, económica e cultural, baseada em principios éticos, sociais e democráticos da doutrina cristã."
Movimento Partido da Terra,MPT-PH,"Anteriormente designado por MPT-PH – Partido da Terra e originalmente chamado de Movimento o Partido da Terra, é um partido português fundado em 12 de agosto de 1993. Assume-se hoje como um partido político liberal verde, ecologista e humanista."
Bloco de Esquerda,BE,"O Bloco de Esquerda (BE) é um partido político socialista e populista, de esquerda a extrema-esquerda, em Portugal."
Partido Humanista,PH,"partido político português que nunca teve representação parlamentar. Em 2009, concorreu às eleições legislativas coligado com o MPT-PH, formando a FEH - Frente Ecologia e Humanismo. Em 2011, posicionou-se em último lugar, entre os 17 partidos concorrentes, tendo obtido 3 590 votos a nível nacional, correspondentes a 0,06%, havendo a atenuante de ter participado apenas em seis círculos eleitorais, mais os dos emigrantes."
Partido Nacional Renovador,PNR,Partido político português ultranacionalista de extrema-direita. O seu lema é Nação e Trabalho e um dos seus objetivos consiste na valorização de um espírito nacionalista português.
Partido da Nova Democracia,PND,"Partido político português conservador-nacionalista, que nasceu duma dissidência do CDS - Partido Popular liderada por Manuel Monteiro e pelo núcleo duro que o acompanhara durante a sua presidência daquele partido, essencialmente composto por Jorge Ferreira, Gonçalo Ribeiro da Costa e Diogo Pacheco de Amorim."
Movimento Esperança Portugal,MEP,"foi o 16.º partido político português, reconhecido pelo Tribunal Constitucional  a 23 de Julho de 2008. O MEP posicionava-se ideologicamente como um partido do Centro entre o PS e o PSD."
Partido Liberal Democrata,PLD,"Resultou da alteração da denominação em 2011 do anterior partido Movimento Mérito e Sociedade (MMS) que havia sido fundado em Lisboa, Setembro de 2007"
Partido Cidadania e Democracia Cristã,PPV/CDC,"Partido político português, aprovado pelo Tribunal Constitucional em 1 de julho de 2009 sob a designação de Portugal pro Vida (PPV), que defendia os princípios da doutrina social da Igreja."
Partido Trabalhista Português,PTP,"Partido político trabalhista português. Trata-se de um partido que, num clima de tolerância, aposta no diálogo construtivo, não alinhado em percursos fraturantes da sociedade."
Pessoas–Animais–Natureza,PAN,"Partido político de Portugal. Intitula-se um partido de causas, defensor dos direitos humanos, dos animais e da natureza."
"Partido Ecologista ""Os Verdes""",PEV,"Partido político português verde. Foi fundado em 1982 e concorreu sempre a eleições em coligação com o PCP, primeiro na Aliança Povo Unido (APU) e depois na Coligação Democrática Unitária (CDU). Conta com uma intervenção e um conhecimento importantes nas áreas do ambiente e da ecologia."
Movimento Alternativa Socialista,MAS,"Organização política trotskista portuguesa e é o resultado da fusão entre a Frente da Esquerda Revolucionária (FER), e os jovens activistas do movimento estudantil (Ruptura)."
Juntos pelo Povo,JPP,"O partido tem origem num movimento do concelho de Santa Cruz, na Região Autónoma da Madeira, que disputou as eleições autárquicas de 2013 nesse concelho, conquistando a maioria absoluta, com Filipe Sousa como cabeça-de-lista."
Livre,L,"Partido político português. Os seus princípios fundadores são liberdade, igualdade, solidariedade, socialismo, ecologia e europeísmo. O seu símbolo é a papoila. Foi legalizado pelo Tribunal Constitucional a 19 de março de 2014."
Alternativa Democrática Nacional,ADN,"Fundada com a designação de Partido Democrático Republicano (PDR), é um partido político português conservador,[4] considerado de extrema-direita,[5] designação que a agremiação rejeita."
"Nós, Cidadãos!",NC,"Partido político português, que se identifica como partido dos movimentos cívicos, apresentando-se como de centro a centro-direita no espectro político."
Partido Unido dos Reformados e Pensionistas,PURP,"O partido tem origem na constatação, por parte dos fundadores, Portugal não tem “associações de reformados que defendam” os aposentados e os pensionistas, pretendendo assumir-se como a voz política dos membros dessa faixa etária."
Chega,CH,"Partido político português, de ideologia populista, de direita radical, nacionalista, conservador, sendo o seu espectro político definido como sendo de direita a extrema-direita."
Iniciativa Liberal,IL,"Partido político português de índole liberal, que defende a liberalização económica, política e cultural.[4] Fundado em 2017, concorreu às suas primeiras eleições nas europeias de 2019. O espectro político da IL é definido como sendo de centro-direita."
Aliança,A,"Partido político português que surgiu em 2018 como cisão do PSD. Define-se como um partido personalista, europeísta, conservador nos costumes e liberal na economia, assumidamente de direita."
Reagir Incluir Reciclar,R.I.R,"Partido oficial português cujo fundador foi Vitorino Silva, mais conhecido por Tino de Rans."
Volt Portugal,VP,"Partido português pan-europeu, progressista e pragmático. Não se considera nem de esquerda nem de direita pois procura basear as suas decisões nas melhores práticas, na evidência científica e na defesa dos direitos humanos."
